role,공고수
전문연구요원 및 Post-Doc,1
전공현장실습,1
전공탐색 멘토,1
전공체험 프로그램 멘토단,1
전공멘토링 멘토/멘티,1
교양국어 행정조교,1
교양국어 학부조교,1
중국 단기과정 조교,1
중국어 여자 조교,1
교내근로장학생,1
공연기획/디자인 조교,1
공연기획/디자인 근로조교,1
지역사회협력 프로그램 TA,1
진로 프로그램 단기 보조,1
진로 프로그램 단기근로,1
진로취업 현황 전화 조사 아르바이트생,1
파이썬 교육 멘토,1
짐 보관 접수 및 정리,1
짐 분출 및 정리,1
차세대공학리더 YEHS 회원,1
참가학생,1
창업 멘토,1
튜터링,1
TV스튜디오 기술조교,1
파이썬 실습 조교,1
Part-time 행정조교,1
행정 근로조교,1
K-MOOC 강좌 운영조교,1
PPT 제작 조교,1
행사안내 근로장학생,1
행사보조 단기 조교,1
행사 지원 근로조교,1
행사 및 잡카페 조교,1
편입 감독보조,1
행사 도우미,1
학위증 배포 아르바이트,1
Python 교육 멘토,1
학위수여식 준비 및 서류 정리 근로장학생,1
"학위기 배부, 학위가운 대여 단기 근로장학생",1
RA,1
"IA, HK조교",1
행정 조교 근로장학생,1
행정 조교 및 근로장학생,1
행정/독후감 조교,1
CBT 시험감독조교,1
행정근로장학생,1
행정기획조교,1
행정실 근무 조교,1
CBT 모의 시험감독조교,1
Ambassador,1
행정조교 근로학생,1
행정조교 및 수업조교,1
AI 평가 관련 자료조사 및 AI 개발 단기 조교,1
행정조교/수업조교,1
AI 개발 연구조교,1
현장실습,1
AI 개발 단기 조교,1
학위기 및 졸업가운 배부 근로장학생,1
학술저널 담당 학부 조교,1
학생회 임원진,1
TA 장학생,1
편입시험 근로학생,1
편입학 필기시험 근로학생,1
편입학시험 근로학생,1
편집간사/조교,1
편집조교,1
전공멘토,1
필수 글쓰기과목 TA 조교,1
필수글쓰기 TA,1
TV스튜디오 기술 조교,1
TM근로조교,1
TA장학생 출결조교,1
학과홍보단,1
TA연구보조원,1
학부 근로장학생,1
학부 연구 조교,1
학생위원,1
"SNS, 사진 담당 조교",1
학부 조교 근로장학생,1
학부 출결조교,1
학부생 근로조교,1
학부생 행정 조교,1
SNS 담당 조교,1
학부연구생,1
학부연구프로그램(URP) 인턴,1
SNS 근로 조교,1
학부조교 및 외국인조교,1
학부펠로우십,1
학부행 조교,1
SISP 생활지원 조교,1
학생 홍보단,1
전공멘토링 멘토,1
장애대학생 교육지원인력,1
교외근로,1
수업조교(대학원TA장학생),1
시험감독 보조 대학원 조교,1
대학원 TA조교,1
대학원 행정 조교,1
시간제근로자,1
시간제 근로자,1
"대학원 행정 조교, 독후감 조교",1
"대학원 행정, 독후감 조교",1
석좌교수,1
수업 촬영 조교,1
대학원생 TA,1
수업 전담 조교,1
수업 운영 조교,1
세미나/한국어 수업 조교,1
선배 멘토링단,1
시험감독 조교,1
시험감독조교,1
대학원 TA장학생 출결조교,1
실습 TA,1
대학원 TA 장학생,1
실습 조교,1
대학원 TA,1
대학생 인턴,1
당직조교 및 수업 조교,1
실험조교,1
단기아르바이트,1
아르바이트생,1
안젤루스 봉사단,1
단기근로조교,1
야간 근로학생,1
업무보조 근로장학생,1
단기 프로그램 조교,1
석학교수,1
석사급 연구보조원,1
저녁조교,1
봉사 동아리 회원,1
사무조교,1
면접전형 진행조교,1
사감실 보조 및 기숙사 자치 활동,1
사감 업무 보조,1
부교사/조교,1
봉사단원,1
보안실 근로 사생,1
석사급 TA장학생,1
보안실 근로,1
변호사 CBT시험 준비인원,1
베타 테스트 조교(도슨트),1
방송기획 파트 조교,1
방문교수,1
명예 튜터,1
사생 자치회 및 사감실 보조,1
사생회원,1
사진 담당 조교,1
사진기자,1
사진촬영 담당 근로학생,1
사진촬영 및 SNS 담당 근로학생,1
사진촬영 조교,1
사진촬영/SNS 담당 근로학생,1
산학협력중점교수,1
상근 조교,1
리걸클리닉 대학원 조교,1
디자인작업 근로 조교,1
상담관리 담당 조교,1
동아리 CampOn,1
서강이음/SNS 근로조교,1
서류정리 근로,1
서류정리 근로학생,1
업무보조학생,1
여자 층별조교,1
여자층조교,1
근로장학생(석사),1
국제학생 조교,1
일반대학원생 조교,1
일반교육지원인력,1
인턴쉽,1
근로 가능자,1
근로장학생 및 행정조교,1
위원,1
여조교,1
웹페이지 개발 및 디자인 단기 근로학생,1
원서/자기소개서 접수 업무보조 조교,1
원서 정리 보조 학생,1
근로장학생(행정조교),1
근로학생(SNS담당),1
근무자,1
일일 알바,1
입사도우미,1
입사일 아르바이트,1
국문튜터,1
입시업무 지원 대학원 조교,1
입학시험 면접보조 대학원 조교,1
국문 튜터,1
입학전형 서류 블라인드 및 면접 보조,1
입학전형 서류 블라인드 및 면접 보조 근로학생,1
잡카페 조교,1
장기현장실습,1
문서 파쇄 근로학생,1
국가근로 학생조교,1
국가 근로 장학생,1
교육전문연구원,1
교육과정 운영 지원 조교,1
재물조사 조교,1
글로벌튜터링,1
외국인 입사보조 아르바이트,1
외국인 유학생 멘토,1
영상기획/디자인 근로조교,1
단기 근로학생,1
단기 근로장학생 및 행정조교,1
연구과제 수행 학생,1
단기 TM근로조교,1
논술학원 조교,1
연말정산 교내근로장학생,1
연말정산 근로장학생,1
논술전형 합격비결 언박싱 영상 출연 근로학생,1
연출조교단체 단원,1
영문 글쓰기 튜터,1
영상 제작 조교,1
논술시험 감독보조,1
영상 편집 조교,1
영상기획/디자인 근로 조교,1
남자층조교,1
글쓰기 과목 TA,1
영어캠프 행정조교,1
기초인공지능프로그래밍 조교,1
기초Java언어 학부생 조교,1
오전 행정조교,1
오후 근로학생,1
오후 조교,1
외국 사생 담당 조교,1
외국사생 담당 조교,1
외국어 담당 조교,1
외국어 담당조교,1
외국어 조교,1
외국어조교(중국어),1
외국인 게스트 침구 정리 단기 아르바이트,1
기술 조교,1
실습실 조교,1
