term,student_id,day_of_week,start_time,end_time,preference
2026-summer,20240673,5,09:00,16:00,2
2026-summer,20240673,6,09:00,13:00,2
2026-2,20211357,1,08:00,13:30,2
2026-2,20211357,1,18:00,22:00,2
2026-2,20211357,2,08:00,10:30,2
2026-2,20211357,2,12:00,13:30,2
2026-2,20211357,2,18:00,22:00,2
2026-2,20211357,3,08:00,13:30,2
2026-2,20211357,3,18:00,22:00,3
2026-2,20211357,4,08:00,10:30,2
2026-2,20211357,4,12:00,13:30,2
2026-2,20211357,4,18:00,22:00,2
2026-2,20211357,5,08:00,13:30,2
2026-2,20211357,5,18:00,22:00,2
2026-2,20211357,6,09:00,12:00,2
2026-summer,20211357,1,09:00,13:00,2
2026-summer,20211357,1,16:00,20:00,2
2026-summer,20211357,2,09:00,13:00,2
2026-summer,20211357,2,16:00,20:00,2
2026-summer,20211357,3,09:00,12:00,3
2026-summer,20211357,3,12:00,13:00,2
2026-summer,20211357,3,16:00,20:00,2
2026-summer,20211357,4,09:00,13:00,2
2026-summer,20211357,4,16:00,20:00,2
2026-summer,20211357,5,09:00,13:00,2
2026-summer,20211357,5,16:00,20:00,2
2026-2,20220055,1,12:00,22:00,2
2026-2,20220055,2,12:00,13:30,2
2026-2,20220055,2,15:00,18:00,2
2026-2,20220055,2,18:00,22:00,3
2026-2,20220055,3,12:00,22:00,2
2026-2,20220055,4,12:00,13:30,2
2026-2,20220055,4,15:00,22:00,2
2026-2,20220055,5,12:00,22:00,2
2026-2,20220055,6,09:00,17:00,2
2026-summer,20220055,1,13:00,20:00,2
2026-summer,20220055,2,13:00,20:00,2
2026-summer,20220055,3,13:00,20:00,2
2026-summer,20220055,4,13:00,17:00,2
2026-summer,20220055,4,17:00,20:00,3
2026-summer,20220055,5,13:00,20:00,2
2026-summer,20220055,6,09:00,17:00,2
2026-2,20220091,1,08:00,15:00,2
2026-2,20220091,2,08:00,16:30,2
2026-2,20220091,3,08:00,15:00,2
2026-2,20220091,4,08:00,12:00,3
2026-2,20220091,4,12:00,16:30,2
2026-2,20220091,5,08:00,13:30,2
2026-2,20220091,6,09:00,17:00,2
2026-summer,20220091,1,09:00,18:00,2
2026-summer,20220091,2,09:00,18:00,2
2026-summer,20220091,3,09:00,18:00,2
2026-summer,20220091,4,09:00,12:00,3
2026-summer,20220091,4,12:00,18:00,2
2026-summer,20220091,5,09:00,18:00,2
2026-summer,20220091,6,09:00,17:00,2
2026-2,20220077,1,08:00,18:00,2
2026-2,20220077,2,08:00,10:30,2
2026-2,20220077,2,12:00,18:00,2
2026-2,20220077,3,08:00,10:30,2
2026-2,20220077,3,12:00,18:00,2
2026-2,20220077,4,08:00,10:30,2
2026-2,20220077,4,12:00,13:30,2
2026-2,20220077,4,13:30,16:30,3
2026-2,20220077,4,16:30,18:00,2
2026-2,20220077,5,08:00,18:00,2
2026-summer,20220077,1,09:00,17:00,2
2026-summer,20220077,2,09:00,17:00,2
2026-summer,20220077,3,09:00,17:00,2
2026-summer,20220077,4,09:00,13:00,2
2026-summer,20220077,4,13:00,16:00,3
2026-summer,20220077,4,16:00,17:00,2
2026-summer,20220077,5,09:00,17:00,2
2026-2,20221818,1,13:30,22:00,2
2026-2,20221818,2,13:30,22:00,2
2026-2,20221818,3,13:30,22:00,2
2026-2,20221818,4,16:30,22:00,2
2026-2,20221818,5,13:30,19:00,2
2026-2,20221818,5,19:00,22:00,3
2026-2,20221818,6,13:00,17:00,2
2026-summer,20221818,1,12:00,20:00,2
2026-summer,20221818,2,12:00,20:00,2
2026-summer,20221818,3,12:00,20:00,2
2026-summer,20221818,4,12:00,20:00,2
2026-summer,20221818,5,12:00,17:00,2
2026-summer,20221818,5,17:00,20:00,3
2026-summer,20221818,6,13:00,17:00,2
2026-2,20220557,1,08:00,10:30,2
2026-2,20220557,1,12:00,13:30,2
2026-2,20220557,1,16:30,22:00,2
2026-2,20220557,2,08:00,13:30,2
2026-2,20220557,2,16:30,22:00,2
2026-2,20220557,3,08:00,13:30,2
2026-2,20220557,3,16:30,22:00,2
2026-2,20220557,4,08:00,13:30,2
2026-2,20220557,4,16:30,22:00,2
2026-2,20220557,5,08:00,09:00,2
2026-2,20220557,5,09:00,12:00,3
2026-2,20220557,5,12:00,13:30,2
2026-2,20220557,5,16:30,22:00,2
2026-2,20220557,6,09:00,17:00,2
2026-summer,20220557,1,09:00,12:00,2
2026-summer,20220557,1,16:00,20:00,2
2026-summer,20220557,2,09:00,12:00,2
2026-summer,20220557,2,16:00,20:00,2
2026-summer,20220557,3,09:00,12:00,2
2026-summer,20220557,3,16:00,20:00,2
2026-summer,20220557,4,09:00,12:00,2
2026-summer,20220557,4,16:00,20:00,2
2026-summer,20220557,5,09:00,12:00,3
2026-summer,20220557,5,16:00,20:00,2
2026-summer,20220557,6,09:00,17:00,2
2026-2,20230415,1,13:30,22:00,2
2026-2,20230415,2,16:30,22:00,3
2026-2,20230415,3,16:30,22:00,2
2026-2,20230415,4,16:30,22:00,3
2026-2,20230415,5,15:00,22:00,2
2026-2,20230415,6,09:00,17:00,2
2026-summer,20230415,1,13:00,20:00,2
2026-summer,20230415,2,13:00,20:00,2
2026-summer,20230415,3,13:00,20:00,2
2026-summer,20230415,4,13:00,20:00,2
2026-summer,20230415,5,13:00,20:00,2
2026-summer,20230415,6,09:00,17:00,2
2026-2,20240922,1,08:00,13:30,2
2026-2,20240922,2,08:00,15:00,3
2026-2,20240922,3,08:00,13:30,2
2026-2,20240922,4,08:00,15:00,2
2026-2,20240922,5,08:00,12:00,3
2026-2,20240922,6,09:00,17:00,2
2026-summer,20240922,1,09:00,16:00,2
2026-summer,20240922,2,09:00,16:00,2
2026-summer,20240922,3,09:00,16:00,2
2026-summer,20240922,4,09:00,16:00,2
2026-summer,20240922,5,09:00,16:00,2
2026-summer,20240922,6,09:00,17:00,2
2026-2,20262001,1,15:00,18:00,3
2026-2,20262001,2,09:00,15:00,2
2026-2,20262001,3,15:00,18:00,2
2026-2,20262001,4,09:00,15:00,2
2026-2,20262001,5,09:00,15:00,2
2026-2,20262002,1,09:00,12:00,2
2026-2,20262002,1,15:00,18:00,3
2026-2,20262002,2,09:00,18:00,2
2026-2,20262002,3,09:00,12:00,2
2026-2,20262002,3,15:00,18:00,2
2026-2,20262002,4,09:00,18:00,2
2026-2,20262003,1,09:00,15:00,2
2026-2,20262003,1,15:00,18:00,3
2026-2,20262003,2,09:00,15:00,2
2026-2,20262003,3,15:00,18:00,2
2026-2,20262003,4,09:00,15:00,2
2026-2,20262003,5,15:00,18:00,2
2026-2,20262004,1,12:00,15:00,2
2026-2,20262004,2,12:00,15:00,2
2026-2,20262004,3,12:00,15:00,2
2026-2,20262004,4,12:00,15:00,3
2026-2,20262004,5,09:00,18:00,2
2026-2,20262005,1,09:00,12:00,2
2026-2,20262005,1,15:00,18:00,2
2026-2,20262005,2,12:00,15:00,2
2026-2,20262005,3,09:00,12:00,2
2026-2,20262005,4,12:00,15:00,3
2026-2,20262005,5,09:00,15:00,2
2026-2,20262006,1,12:00,18:00,2
2026-2,20262006,2,09:00,18:00,2
2026-2,20262006,4,09:00,12:00,3
2026-2,20262006,4,12:00,18:00,2
2026-2,20262006,5,09:00,12:00,2
2026-2,20262007,1,15:00,18:00,2
2026-2,20262007,2,09:00,18:00,2
2026-2,20262007,3,15:00,18:00,2
2026-2,20262007,4,09:00,12:00,2
2026-2,20262007,4,12:00,15:00,3
2026-2,20262007,4,15:00,18:00,2
2026-2,20262007,5,09:00,15:00,2
2026-2,20262008,1,09:00,12:00,3
2026-2,20262008,2,09:00,15:00,2
2026-2,20262008,3,15:00,18:00,2
2026-2,20262008,4,09:00,15:00,2
2026-2,20262008,5,15:00,18:00,2
2026-2,20262009,1,09:00,12:00,2
2026-2,20262009,1,15:00,18:00,2
2026-2,20262009,2,09:00,12:00,2
2026-2,20262009,2,15:00,18:00,2
2026-2,20262009,3,09:00,12:00,2
2026-2,20262009,4,09:00,12:00,2
2026-2,20262009,4,15:00,18:00,2
2026-2,20262009,5,09:00,12:00,2
2026-2,20262009,5,12:00,15:00,3
2026-2,20262010,1,09:00,15:00,2
2026-2,20262010,2,12:00,15:00,3
2026-2,20262010,2,15:00,18:00,2
2026-2,20262010,4,12:00,18:00,2
2026-2,20262010,5,15:00,18:00,2
2026-2,20262011,1,09:00,18:00,2
2026-2,20262011,2,09:00,18:00,2
2026-2,20262011,3,15:00,18:00,2
2026-2,20262011,4,09:00,18:00,2
2026-2,20262011,5,15:00,18:00,3
2026-2,20262012,1,09:00,15:00,2
2026-2,20262012,2,12:00,15:00,2
2026-2,20262012,3,09:00,12:00,3
2026-2,20262012,4,12:00,15:00,2
2026-2,20262012,5,09:00,18:00,2
2026-2,20262013,2,09:00,18:00,2
2026-2,20262013,3,12:00,15:00,2
2026-2,20262013,4,09:00,12:00,3
2026-2,20262013,4,12:00,18:00,2
2026-2,20262013,5,15:00,18:00,2
2026-2,20262014,1,09:00,12:00,2
2026-2,20262014,2,09:00,18:00,2
2026-2,20262014,3,12:00,15:00,3
2026-2,20262014,3,15:00,18:00,2
2026-2,20262014,4,09:00,18:00,2
2026-2,20262015,2,09:00,18:00,2
2026-2,20262015,3,15:00,18:00,2
2026-2,20262015,4,09:00,15:00,2
2026-2,20262015,4,15:00,18:00,3
2026-2,20262015,5,15:00,18:00,2
2026-2,20262016,1,09:00,12:00,2
2026-2,20262016,2,12:00,18:00,2
2026-2,20262016,4,12:00,18:00,2
2026-2,20262016,5,09:00,15:00,2
2026-2,20262016,5,15:00,18:00,3
2026-2,20262017,1,12:00,18:00,2
2026-2,20262017,2,09:00,12:00,3
2026-2,20262017,3,12:00,18:00,2
2026-2,20262017,4,09:00,12:00,2
2026-2,20262017,5,15:00,18:00,2
2026-2,20262018,1,09:00,18:00,2
2026-2,20262018,2,12:00,18:00,2
2026-2,20262018,3,15:00,18:00,2
2026-2,20262018,4,12:00,18:00,2
2026-2,20262018,5,09:00,12:00,3
2026-2,20262019,1,09:00,12:00,2
2026-2,20262019,2,09:00,18:00,2
2026-2,20262019,3,09:00,12:00,2
2026-2,20262019,3,15:00,18:00,2
2026-2,20262019,4,09:00,15:00,2
2026-2,20262019,4,15:00,18:00,3
2026-2,20262019,5,15:00,18:00,2
2026-2,20262020,1,09:00,18:00,2
2026-2,20262020,3,09:00,12:00,2
2026-2,20262020,5,09:00,12:00,2
2026-2,20262020,5,12:00,15:00,3
2026-2,20262020,5,15:00,18:00,2
2026-2,20262021,1,10:00,14:00,3
2026-2,20262021,2,10:00,14:00,2
2026-2,20262021,3,10:00,14:00,2
2026-2,20262022,2,14:00,18:00,2
2026-2,20262022,3,14:00,18:00,3
2026-2,20262022,4,14:00,18:00,2
2026-2,20262023,1,18:00,22:00,2
2026-2,20262023,3,18:00,22:00,2
2026-2,20262023,4,18:00,22:00,3
2026-2,20262024,1,10:00,14:00,3
2026-2,20262024,4,10:00,14:00,2
2026-2,20262024,5,09:00,13:00,2
2026-2,20262025,1,14:00,18:00,2
2026-2,20262025,2,14:00,18:00,3
2026-2,20262025,5,13:00,17:00,2
2026-2,20262026,2,18:00,22:00,2
2026-2,20262026,3,18:00,22:00,2
2026-2,20262026,4,18:00,22:00,3
2026-2,20262027,2,10:00,14:00,3
2026-2,20262027,3,10:00,14:00,2
2026-2,20262027,4,10:00,14:00,2
2026-2,20262028,3,14:00,18:00,2
2026-2,20262028,4,14:00,18:00,3
2026-2,20262028,5,13:00,17:00,2
2026-2,20262029,1,18:00,22:00,2
2026-2,20262029,2,18:00,22:00,2
2026-2,20262029,3,18:00,22:00,3
2026-2,20262030,2,18:00,22:00,3
2026-2,20262030,3,18:00,22:00,2
2026-2,20262030,4,18:00,22:00,2
