term,course_code,section,title,department_name,credits,professor,enrolled_count,day_of_week,start_time,end_time,room
2026-2,AAT3024,01,Explainable AI,아트&테크놀로지학과,3.0,정해동,33,2,16:30,17:45,X423
2026-2,AAT3024,01,Explainable AI,아트&테크놀로지학과,3.0,정해동,33,4,16:30,17:45,X423
2026-2,AAT4006,01,3D Animation,아트&테크놀로지학과,3.0,이형기,6,5,10:30,13:15,X427
2026-2,AAT4011,01,Immersive Media,아트&테크놀로지학과,3.0,김민영,11,5,10:30,13:15,
2026-2,AATG001,01,Game Engine Graphics(캡스톤디자인),아트&테크놀로지학과,3.0,김하연,23,3,15:00,16:15,X513
2026-2,AATG001,01,Game Engine Graphics(캡스톤디자인),아트&테크놀로지학과,3.0,김하연,23,5,15:00,16:15,X513
2026-2,AATG013,01,Deep Learning & Computer Vision,아트&테크놀로지학과,3.0,정해동,25,3,13:30,16:15,X427
2026-2,AATG106,01,Generative Audio Visualization,아트&테크놀로지학과,3.0,오예민,24,3,10:30,13:15,X423
2026-2,GKS1001,01,Critical Thinking for Social Inquiry,글로벌한국학부,3.0,이현옥,37,2,13:30,14:45,J215
2026-2,GKS1001,01,Critical Thinking for Social Inquiry,글로벌한국학부,3.0,이현옥,37,4,13:30,14:45,J215
2026-2,GKS1001,02,Critical Thinking for Social Inquiry,글로벌한국학부,3.0,백종완,112,3,13:30,14:45,J118
2026-2,GKS1001,02,Critical Thinking for Social Inquiry,글로벌한국학부,3.0,백종완,112,5,13:30,14:45,J118
2026-2,MAS1001,01,지식융합미디어입문,지식융합미디어대학,1.0,현대원,83,3,15:00,16:15,K401
2026-2,MAS1002,01,Creativity & Visual Expression,지식융합미디어대학,3.0,유현재,79,1,09:00,10:15,MA102
2026-2,MAS1002,01,Creativity & Visual Expression,지식융합미디어대학,3.0,유현재,79,3,09:00,10:15,MA102
2026-2,MAS1002,02,Creativity & Visual Expression,지식융합미디어대학,3.0,이승언,46,1,13:30,16:15,D504
2026-2,MAS1002,03,Creativity & Visual Expression,지식융합미디어대학,3.0,이승언,45,5,10:30,13:15,GA403
2026-2,MAS1003,01,The art of storytelling,지식융합미디어대학,3.0,안성호,53,1,13:30,16:15,J118
2026-2,MAS1003,02,The art of storytelling,지식융합미디어대학,3.0,안성호,52,5,10:30,13:15,J118
2026-2,MAS1004,01,Data&AI,지식융합미디어대학,3.0,정다샘,33,2,15:00,16:15,X423
2026-2,MAS1004,01,Data&AI,지식융합미디어대학,3.0,정다샘,33,4,15:00,16:15,X423
2026-2,MAS1004,02,Data&AI,지식융합미디어대학,3.0,김태훈,34,2,10:30,11:45,GA505
2026-2,MAS1004,02,Data&AI,지식융합미디어대학,3.0,김태훈,34,4,10:30,11:45,GA505
2026-2,MAS1006,01,Media Theory & Practice,지식융합미디어대학,3.0,최서영,50,2,13:30,14:45,MA206
2026-2,MAS1006,01,Media Theory & Practice,지식융합미디어대학,3.0,최서영,50,4,13:30,14:45,MA206
2026-2,MAS2001,01,융합미디어통론,지식융합미디어대학,3.0,김지연,61,1,10:30,11:45,GA403
2026-2,MAS2001,01,융합미디어통론,지식융합미디어대학,3.0,김지연,61,3,10:30,11:45,GA403
2026-2,MAS2002,01,전략커뮤니케이션,지식융합미디어대학,3.0,정수린,103,1,12:00,13:15,MA104
2026-2,MAS2002,01,전략커뮤니케이션,지식융합미디어대학,3.0,정수린,103,3,12:00,13:15,MA104
2026-2,MAS2002,02,전략커뮤니케이션,지식융합미디어대학,3.0,김수진,50,5,10:30,13:15,GA305
2026-2,MAS2003,01,한류,지식융합미디어대학,3.0,최지선,51,2,13:30,14:45,GA401
2026-2,MAS2003,01,한류,지식융합미디어대학,3.0,최지선,51,4,13:30,14:45,GA401
2026-2,MAS2003,02,한류(중국어강의),지식융합미디어대학,3.0,JIN XIANMEI,32,2,12:00,13:15,GA303B
2026-2,MAS2003,02,한류(중국어강의),지식융합미디어대학,3.0,JIN XIANMEI,32,4,12:00,13:15,GA303B
2026-2,MAS2004,01,인간소통과미디어,지식융합미디어대학,3.0,나은영,53,3,13:30,14:45,GA403
2026-2,MAS2004,01,인간소통과미디어,지식융합미디어대학,3.0,나은영,53,5,13:30,14:45,GA403
2026-2,MAS2005,01,영상제작입문,지식융합미디어대학,3.0,박정준,30,5,10:30,13:15,GA303B
2026-2,MAS2005,02,영상제작입문,지식융합미디어대학,3.0,박정준,30,1,13:30,16:15,GA401
2026-2,MAS2006,01,공연예술의이해,지식융합미디어대학,3.0,이성구,45,1,10:30,11:45,GA401
2026-2,MAS2006,01,공연예술의이해,지식융합미디어대학,3.0,이성구,45,3,10:30,11:45,GA401
2026-2,MAS2007,01,Media Technologies and Arts,지식융합미디어대학,3.0,오준호,51,1,12:00,13:15,GA403
2026-2,MAS2007,01,Media Technologies and Arts,지식융합미디어대학,3.0,오준호,51,3,12:00,13:15,GA403
2026-2,MAS2008,01,Fundamentals of Programming and Problem Solving,지식융합미디어대학,3.0,이강일,33,1,13:30,16:15,X423
2026-2,MAS2008,02,Fundamentals of Programming and Problem Solving,지식융합미디어대학,3.0,이강일,34,1,16:30,17:45,X423
2026-2,MAS2008,02,Fundamentals of Programming and Problem Solving,지식융합미디어대학,3.0,이강일,34,3,16:30,17:45,X423
2026-2,MAS2010,01,Fundamentals of Computer Science for Korean Studies,지식융합미디어대학,3.0,조은경,36,3,13:30,14:45,X423
2026-2,MAS2010,01,Fundamentals of Computer Science for Korean Studies,지식융합미디어대학,3.0,조은경,36,5,13:30,14:45,X423
2026-2,MAS2011,01,Introduction to Visual Media Programming,지식융합미디어대학,3.0,서용덕,30,1,16:30,17:45,D105
2026-2,MAS2011,01,Introduction to Visual Media Programming,지식융합미디어대학,3.0,서용덕,30,3,16:30,17:45,D105
